City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Kaseda,JP,2021-09-27 01:19:29,31.4167,130.3167,81.63,68,11,9.64,few clouds
60,Heze,CN,2021-09-27 01:19:29,35.2431,115.4411,66.87,92,100,10.58,overcast clouds
61,Itarema,BR,2021-09-27 01:19:30,-2.9248,-39.9167,78.91,83,4,17.47,clear sky
62,Salalah,OM,2021-09-27 01:19:30,17.0151,54.0924,80.69,89,40,3.44,scattered clouds
63,Chuy,UY,2021-09-27 01:19:31,-33.6971,-53.4616,57.4,94,11,5.59,few clouds
64,Ejea De Los Caballeros,ES,2021-09-27 01:19:31,42.1263,-1.1372,68.88,54,100,4.81,overcast clouds
65,Cape Town,ZA,2021-09-27 01:18:38,-33.9258,18.4232,60.28,74,35,1.99,scattered clouds
66,Maua,BR,2021-09-27 01:19:31,-23.6678,-46.4614,70.36,72,100,2.86,overcast clouds
67,Oriximina,BR,2021-09-27 01:19:32,-1.7656,-55.8661,79.45,68,52,2.19,broken clouds
68,Ponte De Sor,PT,2021-09-27 01:19:32,39.2496,-8.0101,63.72,92,100,4.47,overcast clouds
69,Cabo San Lucas,MX,2021-09-27 01:14:37,22.8909,-109.9124,89.62,74,5,1.01,clear sky
70,Gamba,GA,2021-09-27 01:19:33,-2.65,10.0,75.9,86,100,3.42,overcast clouds
71,Yellowknife,CA,2021-09-27 01:18:40,62.456,-114.3525,43.32,77,20,2.3,few clouds
72,Shache,CN,2021-09-27 01:19:34,38.4167,77.2406,63.05,25,0,5.95,clear sky
73,Longyearbyen,SJ,2021-09-27 01:19:34,78.2186,15.6401,37.24,87,75,16.11,light intensity drizzle
74,Punta Arenas,CL,2021-09-27 01:15:33,-53.15,-70.9167,39.31,81,20,9.22,few clouds
75,Isangel,VU,2021-09-27 01:15:18,-19.55,169.2667,75.83,61,74,8.16,broken clouds
76,Taoudenni,ML,2021-09-27 01:19:35,22.6783,-3.9836,92.12,11,9,8.93,clear sky
