City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Sao Jose Da Coroa Grande,BR,76.12,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
566,Carutapera,BR,78.39,broken clouds,-1.195,-46.02,Lidera
567,Galle,LK,77.49,overcast clouds,6.0367,80.217,Amangalla
568,Samarai,PG,79.63,scattered clouds,-10.6167,150.6667,Nuli Sapi
569,Grand-Lahou,CI,73.6,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
571,Port Blair,IN,80.53,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
574,Lorengau,PG,83.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
576,Seybaplaya,MX,81.9,overcast clouds,19.65,-90.6667,sala de fiesta san Rafael
577,Waingapu,ID,83.71,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
579,Progreso,MX,75.31,clear sky,21.2833,-89.6667,Playa Linda Hotel
580,Pandan,PH,83.23,overcast clouds,14.0453,124.1694,Bonifacio Lodge
581,Cartagena,CO,83.82,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
583,Alta Floresta,BR,71.67,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
584,Salina,US,82.85,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
585,Portobelo,PA,80.04,overcast clouds,9.55,-79.65,Scuba Portobelo
586,Moses Lake,US,80.96,clear sky,47.1301,-119.2781,Ramada by Wyndham Moses Lake
592,Pachino,IT,73.6,overcast clouds,36.7186,15.0907,Pietra Bianca B&B
593,Ler,SS,70.41,overcast clouds,8.3018,30.1418,
597,Morondava,MG,73.58,clear sky,-20.2833,44.2833,La Case Bambou
599,Sorong,ID,83.01,scattered clouds,-0.8833,131.25,waigo splash hotel
600,Trincomalee,LK,80.02,overcast clouds,8.5711,81.2335,Welcombe Hotel
605,Santa Isabel,BR,71.65,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
606,Phangnga,TH,78.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
611,Rach Gia,VN,82.35,broken clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
612,Road Town,VG,83.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
614,Innisfail,AU,88.88,clear sky,-17.5333,146.0333,Moondarra Motel
616,Caravelas,BR,73.0,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
619,Guarenas,VE,80.55,few clouds,10.4674,-66.6066,Grand Hotel
620,Tsabong,BW,71.64,clear sky,-26.0217,22.401,Springbok Motel
621,Los Llanos De Aridane,ES,71.13,few clouds,28.6585,-17.9182,Valle Aridane
627,Yaan,NG,70.75,broken clouds,7.3833,8.5667,
630,Laguna,US,84.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
635,Tabas,IR,72.7,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
639,Harlingen,US,84.34,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
641,Aloleng,PH,84.06,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
642,Nishihara,JP,87.85,scattered clouds,26.1842,127.7558,Minshuku Agaihama
646,Bandarbeyla,SO,79.07,clear sky,9.4942,50.8122,JABIR HOTEL
649,Atambua,ID,84.51,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
650,Bosaso,SO,86.49,few clouds,11.2842,49.1816,Red Sea Hotel
652,Goundi,TD,71.83,overcast clouds,9.3627,17.366,
654,Bokoro,TD,79.63,overcast clouds,12.3807,17.0568,
659,Tambopata,PE,84.72,overcast clouds,-12.7333,-69.1833,
660,Umm Kaddadah,SD,81.05,few clouds,13.6017,26.6876,
661,Araguaina,BR,84.87,clear sky,-7.1911,-48.2072,Hotel São Vicente
663,Itinga,BR,74.98,overcast clouds,-16.6131,-41.7653,Hotel Restaurante Itinga
665,Sembakung,ID,82.33,scattered clouds,3.8167,117.25,
667,Gat,IL,76.91,clear sky,31.61,34.7642,OlusHome
668,Shimoda,JP,71.96,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
669,Sahuaripa,MX,81.9,clear sky,29.05,-109.2333,Estatua de Sahuaripa
672,Umarkot,PK,84.76,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
673,Pacific Grove,US,71.62,broken clouds,36.6177,-121.9166,Lovers Point Inn
676,Limbe,CM,74.44,overcast clouds,4.0242,9.2149,The LK Hotel at Bonadikombo
683,Male,MV,79.59,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
